color,part,price,quantity,store_name,url
86,2476,ZAR 0.23,1,"""Agent Blocks """,http://bricklink.com/store.asp?p=Agent_Blocks&itemID=189413514
11,32530,ZAR 0.64,1,"""Agent Blocks """,http://bricklink.com/store.asp?p=Agent_Blocks&itemID=221171935
11,2780,ZAR 0.20,1,"""McT's Bricks""",http://bricklink.com/store.asp?p=McPiggle&itemID=150428292
11,30055,ZAR 0.32,1,"""slic.bric""",http://bricklink.com/store.asp?p=slic.bric&itemID=207955061
11,32074c01,ZAR 0.96,1,"""slic.bric""",http://bricklink.com/store.asp?p=slic.bric&itemID=208889718
86,32133ac05,ZAR 5.00,1,"""REPLAY ZA""",http://bricklink.com/store.asp?p=DarkAngelZA&itemID=184381899
99,55236,ZAR 2.53,1,"""Steffensens Klodser""",http://bricklink.com/store.asp?p=NicklasDK&itemID=198997584
59,50858,ZAR 0.32,1,"""Albany Random Bricks""",http://bricklink.com/store.asp?p=cierra.james&itemID=219232741
74,54821,ZAR 4.16,1,"""Bricks1.2.3.""",http://bricklink.com/store.asp?p=VNE_S&itemID=67041846
95,53582,ZAR 1.32,1,"""StoneFamily""",http://bricklink.com/store.asp?p=BrickpartsMone&itemID=152631048
11,3403c01,ZAR 0.19,1,"""BrickAlex""",http://bricklink.com/store.asp?p=BrickAlex9999&itemID=198941170
